id,name,link,price,city,date,seller_name
6561948,DELL Vostro 3500 Core i3 11.gen 8GB DDR4 256GB Nvme,https://hardverapro.hu/apro/dell_vostro_3500_core_i3_11_gen_8gb_ddr4_256gb_nvm_2/hsz_1-50.html,99 990 Ft,Zalaegerszeg, 2024-05-20 12:09,SWiNEBoY
6531263,"Dell Latitude 7490 érintőképernyő, SIM kártya - Intel 8350U + 16 GB RAM",https://hardverapro.hu/apro/dell_latitude_7490_touchscreen/hsz_1-50.html,99 900 Ft,XIV. kerület, 2024-04-24 12:40,korren
6555266,"Dynabook Satellite Pro C50-H, Core i3-1005G1, 15,6"" Full HD IPS",https://hardverapro.hu/apro/dynabook_satellite_pro_c50-h_core_i3-1005g1_15_6_f_2/hsz_1-50.html,50 000 Ft,"Budapest, ...", 2024-05-14 15:19,Pharaoh1st
6549375,"HP Spectre x360 14-eu0777ng - ÚJ - 14"" OLED 2-IN-1 ultrabook (Intel Core Ultra 7 CPU)",https://hardverapro.hu/apro/hp_spectre_x360_14-eu0777ng_uj_14_oled_2-in-1_ultr/hsz_1-50.html,549 900 Ft,Budapest, 2024-05-09 16:12,SeniorTilla
6530344,"Fujitsu Lifebook e752, i5 3320M, 4GB DDR3, 256GB SSD, E-Sata és USB3, Nincs akksi",https://hardverapro.hu/apro/fujitsu_lifebook_e752_i5_3320m_4gb_ddr3_256gb_ssd_4/hsz_1-50.html,20 000 Ft,"Szombathely, ...", 2024-04-23 16:50,kige91
6530346,"Asus 13 S330F alkatrészek, alaplap+akksi kuka",https://hardverapro.hu/apro/asus_13_s330f_alkatreszek_alaplap_akksi_kuka_4/hsz_1-50.html,3 500 Ft,"Szombathely, ...", 2024-04-23 16:51,kige91
6545596,"Eladó újszerű Asus Vivobook S 14X OLED S5402 notebook - Több, mint 2 év garancia!",https://hardverapro.hu/apro/elado_ujszeru_asus_vivobook_s_14x_oled_s5402_tobb/hsz_1-50.html,199 990 Ft,"Sümeg, ...", 2024-05-06 15:41,sppeter
6563654,Jó áron!!!12 Generációs I3 Dell Inspirion 3520 laptop.,https://hardverapro.hu/apro/jo_aron_csak_ma_12_generacios_i3_dell_inspirion_35/hsz_1-50.html,70 000 Ft,Kecskemét, 2024-05-21 15:31,Ikiwiki10000
6537833,"Gyári Lenovo 20V 3.25A 65W és 90w laptop hálózati töltő sárga, téglalap alakú csatlakozóval!",https://hardverapro.hu/apro/gyari_lenovo_20v_3_25a_65w_es_90w_laptop_halozati_7/hsz_1-50.html,4 000 Ft,Dunaújváros, 2024-04-29 19:03,Business1
6540317,Gyári Lenovo 135W Töltő ingyen szállítás,https://hardverapro.hu/apro/gyari_lenovo_135w_tolto_ingyen_szallitas_3/hsz_1-50.html,8 500 Ft,Dunaújváros, 2024-05-02 06:26,Business1
